Date,Open,High,Low,Close,Adj Close,Volume
2023-06-26,32.299999,32.799999,31.950001,32.349998,31.727364,11033301
2023-06-27,32.349998,33.000000,32.099998,32.700001,32.070629,23652368
2023-06-28,32.650002,32.849998,32.500000,32.650002,32.021591,9648453
2023-06-30,32.750000,33.099998,32.450001,32.700001,32.070629,14373970
2023-07-03,32.849998,33.000000,32.700001,32.750000,32.119663,16288496
2023-07-04,32.799999,33.299999,32.599998,33.099998,32.462925,29446900
2023-07-05,33.200001,34.150002,33.150002,33.450001,32.806190,41585187
2023-07-06,33.500000,33.650002,33.250000,33.349998,32.708115,18663493
2023-07-07,33.299999,33.500000,32.900002,33.099998,32.462925,14912804
2023-07-10,33.250000,33.250000,32.799999,32.950001,32.315815,13203680
2023-07-11,32.950001,33.099998,32.799999,32.900002,32.266777,13406298
2023-07-12,32.799999,33.150002,32.750000,32.950001,32.315815,18276560
2023-07-13,33.049999,33.099998,32.400002,32.549999,31.923512,12769558
2023-07-14,32.500000,32.799999,32.450001,32.549999,31.923512,10988416
2023-07-17,32.549999,32.799999,32.349998,32.500000,31.874477,17532573
2023-07-18,32.599998,33.200001,32.450001,32.599998,31.972551,24480880
2023-07-19,32.700001,32.950001,32.549999,32.849998,32.217739,14117155
2023-07-20,32.900002,33.650002,32.799999,33.250000,32.610039,42035133
2023-07-21,33.299999,35.200001,33.200001,34.950001,34.277321,172775659
2023-07-24,35.500000,36.099998,34.700001,35.099998,34.424435,89931586
2023-07-25,35.150002,35.200001,34.299999,34.450001,33.786945,33446144
2023-07-26,34.650002,36.250000,34.599998,35.250000,34.571548,85247455
2023-07-27,35.349998,35.349998,34.549999,34.849998,34.179245,37679849
2023-07-28,35.099998,35.450001,34.750000,35.049999,34.375397,30923854
2023-07-31,35.500000,38.549999,35.150002,38.200001,37.464771,216012818
2023-08-01,39.000000,41.700001,38.799999,40.500000,39.720501,381693749
2023-08-02,40.750000,41.099998,38.849998,39.700001,38.935898,159610570
2023-08-03,39.900002,45.299999,39.750000,44.700001,43.839664,454943778
2023-08-04,46.799999,48.299999,44.500000,45.049999,44.182926,274350314
2023-08-07,45.950001,50.650002,45.700001,49.750000,48.792469,306863736
2023-08-08,51.250000,52.000000,49.400002,50.299999,49.331879,303287703
2023-08-09,49.900002,50.099998,48.049999,48.950001,48.007866,170874267
2023-08-10,48.950001,50.299999,48.849998,49.450001,48.498241,108926518
2023-08-11,49.700001,50.150002,48.500000,48.900002,47.958828,69084615
2023-08-14,48.650002,51.299999,44.849998,50.849998,49.871292,240638055
2023-08-16,50.900002,52.700001,50.400002,51.250000,50.263599,207500648
2023-08-17,50.000000,50.000000,46.700001,47.650002,46.732887,155217100
2023-08-18,47.650002,49.000000,46.400002,47.250000,46.340588,127976241
2023-08-21,48.200001,48.349998,47.450001,47.750000,46.830963,74415020
2023-08-22,48.099998,48.200001,47.599998,47.849998,46.929035,40881273
2023-08-23,48.000000,48.150002,47.599998,47.750000,46.830963,29610934
2023-08-24,48.000000,50.250000,47.900002,48.599998,47.664600,119824410
2023-08-25,48.700001,49.200001,48.049999,48.400002,47.468452,36732928
2023-08-28,48.900002,49.299999,48.500000,48.700001,47.762676,42444304
2023-08-29,49.049999,50.849998,48.950001,49.500000,48.547279,107331968
2023-08-30,50.000000,50.849998,49.599998,49.799999,48.841503,57580129
2023-08-31,50.299999,50.500000,49.799999,50.200001,49.233810,37388795
2023-09-01,50.500000,56.500000,50.099998,55.750000,54.676987,236065708
2023-09-04,57.700001,66.900002,57.150002,66.699997,65.416229,504243805
2023-09-05,69.750000,75.699997,69.500000,72.250000,70.859413,573870002
2023-09-06,73.500000,74.000000,67.250000,68.750000,67.426781,203998733
2023-09-07,69.099998,74.500000,68.199997,73.150002,71.742088,202538874
2023-09-08,74.699997,77.949997,74.650002,77.099998,75.616066,179288780
2023-09-11,81.699997,84.800003,81.500000,84.750000,83.118828,169943821
2023-09-12,91.000000,92.349998,77.349998,82.800003,81.206360,395003025
2023-09-13,79.900002,84.300003,75.400002,78.900002,77.381424,238578975
2023-09-14,81.000000,82.000000,78.750000,81.250000,79.686195,129797195
2023-09-15,81.750000,82.150002,78.750000,79.349998,78.499062,77020431
2023-09-18,79.699997,79.699997,76.300003,76.599998,75.778549,73958819
2023-09-20,76.000000,79.449997,74.000000,77.199997,76.372116,76414678
2023-09-21,77.199997,78.250000,74.000000,74.449997,73.651604,52360179
2023-09-22,75.000000,76.099998,71.349998,75.099998,74.294632,94866289
2023-09-25,76.150002,78.699997,74.800003,76.800003,75.976410,85506777
2023-09-26,77.199997,77.449997,75.550003,75.949997,75.135521,33138244
2023-09-27,74.849998,76.699997,74.849998,75.400002,74.591423,31966561
2023-09-28,76.000000,76.300003,74.500000,74.849998,74.047318,25011662
2023-09-29,75.300003,77.550003,74.599998,76.550003,75.729088,39254526
2023-10-03,76.849998,77.800003,76.300003,76.599998,75.778549,32681918
2023-10-04,76.449997,76.599998,73.800003,75.050003,74.245178,34505676
2023-10-05,75.750000,75.849998,74.000000,74.349998,73.552681,20716740
2023-10-06,74.800003,76.000000,73.800003,74.849998,74.047318,27407523
2023-10-09,72.650002,72.949997,70.349998,71.150002,70.386993,49805228
2023-10-10,71.400002,76.250000,71.349998,75.650002,74.838737,75097719
2023-10-11,76.599998,77.650002,75.349998,75.599998,74.789276,45128089
2023-10-12,76.050003,76.099998,74.800003,75.099998,74.294632,21587597
2023-10-13,75.000000,78.349998,74.500000,76.599998,75.778549,78755411
2023-10-16,77.199997,77.250000,76.199997,76.300003,75.481773,23187941
2023-10-17,76.949997,80.800003,76.599998,79.150002,78.301208,153256370
2023-10-18,79.900002,80.699997,77.150002,77.500000,76.668900,60210098
2023-10-19,76.099998,78.400002,75.800003,77.599998,76.767822,36281928
2023-10-20,77.599998,79.250000,76.650002,77.050003,76.223724,34571282
2023-10-23,77.500000,77.949997,72.000000,72.199997,71.425735,59336442
2023-10-25,73.400002,74.900002,68.000000,70.300003,69.546112,67364514
2023-10-26,68.900002,71.400002,65.750000,70.199997,69.447182,109965024
2023-10-27,71.400002,73.150002,70.449997,71.949997,71.178413,71117911
2023-10-30,72.449997,73.099998,69.900002,72.750000,71.969833,44719772
2023-10-31,73.699997,74.400002,72.099998,72.599998,71.821442,44614720
2023-11-01,72.949997,73.400002,72.500000,72.949997,72.167686,17172572
2023-11-02,74.000000,74.550003,72.800003,73.050003,72.266624,22236579
2023-11-03,72.699997,73.349998,71.050003,72.150002,71.376274,35993734
2023-11-06,73.099998,74.199997,72.650002,72.800003,72.019302,28925365
2023-11-07,73.250000,74.300003,72.800003,73.050003,72.266624,32735491
2023-11-08,73.500000,76.500000,73.400002,75.599998,74.789276,61639026
2023-11-09,76.000000,76.900002,74.099998,74.599998,73.799995,35223000
2023-11-10,74.400002,74.400002,73.250000,74.099998,74.099998,20115569
2023-11-13,74.599998,74.650002,73.550003,73.650002,73.650002,21466105
2023-11-15,74.400002,74.800003,73.150002,73.500000,73.500000,19871941
2023-11-16,73.750000,73.900002,73.000000,73.099998,73.099998,15227424
2023-11-17,73.400002,77.599998,72.699997,76.900002,76.900002,116818430
2023-11-20,77.400002,78.500000,75.800003,76.099998,76.099998,46928842
2023-11-21,76.500000,78.199997,76.349998,76.849998,76.849998,49893620
2023-11-22,77.300003,78.099998,75.500000,76.699997,76.699997,35591880
2023-11-23,76.800003,77.400002,76.349998,76.500000,76.500000,22783082
2023-11-24,76.849998,77.500000,75.900002,76.099998,76.099998,21604709
2023-11-28,76.449997,76.750000,75.250000,75.599998,75.599998,25080614
2023-11-29,76.000000,76.349998,75.000000,75.300003,75.300003,14635478
2023-11-30,75.449997,75.449997,74.150002,74.650002,74.650002,19003196
2023-12-01,74.949997,77.250000,74.800003,75.400002,75.400002,34411168
2023-12-04,78.000000,78.150002,76.150002,76.400002,76.400002,54336061
2023-12-05,77.000000,77.199997,75.800003,76.150002,76.150002,28021269
2023-12-06,76.500000,76.550003,75.599998,75.800003,75.800003,24145206
2023-12-07,75.000000,76.650002,74.599998,76.050003,76.050003,25013914
2023-12-08,76.099998,77.650002,75.599998,76.599998,76.599998,47322739
2023-12-11,77.000000,83.349998,76.800003,82.199997,82.199997,268676897
2023-12-12,84.449997,86.500000,82.050003,83.050003,83.050003,135491070
2023-12-13,84.000000,85.400002,83.099998,83.500000,83.500000,84559239
2023-12-14,84.949997,96.199997,84.800003,92.650002,92.650002,475975248
2023-12-15,95.000000,100.800003,94.099998,94.699997,94.699997,325150277
2023-12-18,95.900002,96.349998,91.250000,94.349998,94.349998,151821592
2023-12-19,94.949997,101.500000,94.500000,100.099998,100.099998,328191530
2023-12-20,102.199997,104.099998,91.300003,92.449997,92.449997,263936530
2023-12-21,90.900002,99.800003,87.099998,98.849998,98.849998,280904719
2023-12-22,101.000000,101.900002,96.650002,97.750000,97.750000,137646820
2023-12-26,98.500000,99.300003,96.550003,97.400002,97.400002,77725407
2023-12-27,98.000000,98.900002,96.199997,96.699997,96.699997,48428319
2023-12-28,97.250000,98.599998,96.050003,96.449997,96.449997,59468778
2023-12-29,96.699997,100.500000,96.500000,99.349998,99.349998,153201085
2024-01-01,100.000000,102.400002,99.400002,100.400002,100.400002,102849848
2024-01-02,101.000000,101.650002,97.800003,100.000000,100.000000,70051082
2024-01-03,100.199997,101.949997,99.000000,100.900002,100.900002,96843171
2024-01-04,101.699997,103.599998,100.900002,101.300003,101.300003,66810041
2024-01-05,101.949997,102.449997,99.900002,100.750000,100.750000,43542157
2024-01-08,101.349998,101.699997,99.599998,99.949997,99.949997,38895310
2024-01-09,100.900002,102.199997,99.900002,100.099998,100.099998,44804938
