Date,Open,High,Low,Close,Adj Close,Volume
2023-06-26,342.649994,342.649994,335.049988,340.149994,335.952698,1283233
2023-06-27,340.000000,356.399994,340.000000,352.850006,348.496002,6798031
2023-06-28,354.100006,356.000000,347.600006,351.750000,347.409546,2091878
2023-06-30,353.049988,363.350006,352.649994,358.899994,354.471313,4356450
2023-07-03,360.950012,364.049988,353.500000,354.250000,349.878693,1734803
2023-07-04,354.250000,357.299988,350.299988,353.950012,349.582428,1341376
2023-07-05,353.950012,358.000000,351.149994,353.649994,349.286102,995480
2023-07-06,354.950012,356.200012,349.500000,353.799988,349.434235,1989456
2023-07-07,356.000000,360.549988,353.049988,354.700012,350.323151,2437598
2023-07-10,355.450012,355.649994,343.600006,345.950012,341.681152,1895779
2023-07-11,347.000000,356.100006,345.100006,355.149994,350.767578,1520560
2023-07-12,355.149994,355.750000,348.500000,349.299988,344.989777,1044238
2023-07-13,349.700012,366.450012,348.149994,361.899994,357.434296,7094935
2023-07-14,363.799988,381.000000,362.600006,379.700012,377.098663,7264128
2023-07-17,383.250000,393.649994,377.200012,383.950012,381.319550,7245327
2023-07-18,385.000000,393.700012,380.149994,392.299988,389.612305,4160551
2023-07-19,393.450012,397.899994,390.000000,393.500000,390.804108,3453054
2023-07-20,393.500000,395.600006,389.500000,392.450012,389.761322,2027313
2023-07-21,382.500000,393.500000,381.000000,385.600006,382.958221,2981417
2023-07-24,385.500000,386.600006,379.850006,383.350006,380.723633,2470379
2023-07-25,383.350006,385.200012,375.100006,378.049988,375.459930,1695144
2023-07-26,379.350006,383.950012,378.000000,379.299988,376.701385,1085762
2023-07-27,383.200012,411.850006,381.149994,402.200012,399.444519,12816622
2023-07-28,405.350006,424.700012,400.049988,415.899994,413.050629,10057454
2023-07-31,417.000000,429.700012,416.299988,427.250000,424.322876,4248556
2023-08-01,428.000000,434.899994,420.000000,432.149994,429.189301,3174123
2023-08-02,431.500000,431.799988,418.399994,425.700012,422.783508,2299029
2023-08-03,422.100006,434.750000,420.299988,433.799988,430.828003,2555345
2023-08-04,435.000000,442.799988,433.450012,438.799988,435.793732,2614983
2023-08-07,440.000000,449.649994,437.100006,448.600006,445.526611,2203307
2023-08-08,449.950012,454.750000,447.049988,451.549988,448.456390,2318513
2023-08-09,450.950012,455.549988,447.399994,454.149994,451.038574,1549021
2023-08-10,452.700012,452.700012,444.600006,445.299988,442.249207,1661347
2023-08-11,446.000000,451.149994,440.700012,445.850006,442.795441,1486040
2023-08-14,444.850006,448.899994,438.649994,448.149994,445.079681,1172380
2023-08-16,450.000000,454.500000,446.250000,451.549988,448.456390,2240944
2023-08-17,452.799988,472.000000,452.000000,470.100006,466.879303,5942124
2023-08-18,470.100006,470.149994,448.250000,453.549988,450.442688,2847473
2023-08-21,455.000000,463.799988,452.000000,462.600006,459.430695,1350315
2023-08-22,464.200012,468.950012,462.399994,466.299988,463.105316,1984953
2023-08-23,468.399994,471.799988,464.149994,465.649994,462.459778,966232
2023-08-24,469.500000,479.149994,466.700012,474.899994,471.646423,2438414
2023-08-25,478.000000,487.649994,476.850006,484.549988,481.230286,3630212
2023-08-28,485.399994,488.450012,478.350006,485.049988,481.726868,1287199
2023-08-29,486.850006,498.299988,486.250000,493.700012,490.317627,2848502
2023-08-30,495.200012,498.000000,492.450012,493.450012,490.069336,905479
2023-08-31,494.000000,511.899994,493.549988,509.700012,506.208008,4221568
2023-09-01,512.900024,530.900024,508.000000,528.349976,524.730225,3248231
2023-09-04,529.950012,535.549988,516.599976,518.799988,515.245667,2455401
2023-09-05,520.799988,533.500000,518.900024,524.799988,521.204529,2255475
2023-09-06,524.450012,530.799988,515.799988,518.700012,515.146362,2392443
2023-09-07,520.900024,524.349976,509.750000,512.849976,509.336395,3104273
2023-09-08,514.900024,521.849976,514.000000,518.500000,514.947693,1310209
2023-09-11,520.700012,520.750000,505.700012,508.399994,504.916901,1986284
2023-09-12,512.450012,519.650024,494.450012,497.149994,493.743988,3948677
2023-09-13,498.000000,502.299988,489.000000,494.100006,490.714874,1815178
2023-09-14,497.450012,514.000000,496.299988,505.750000,502.285065,3601415
2023-09-15,508.750000,512.799988,502.149994,504.000000,500.547058,1947037
2023-09-18,501.000000,501.649994,487.000000,489.049988,485.699463,1682037
2023-09-20,488.000000,494.649994,481.299988,485.000000,481.677216,1886250
2023-09-21,481.000000,495.649994,478.700012,491.299988,487.934052,2815870
2023-09-22,491.600006,491.850006,480.450012,488.049988,484.706329,1428385
2023-09-25,489.799988,496.399994,485.000000,488.399994,485.053925,1287496
2023-09-26,489.450012,492.450012,482.950012,483.750000,480.435791,931591
2023-09-27,481.399994,493.000000,478.000000,491.500000,488.132690,1605406
2023-09-28,493.899994,496.049988,472.399994,474.450012,471.199524,1680115
